북아메리카주,미국,제3의성,0,0,0,0,0,0,0,3,1,0,0,3
북아메리카주,캐나다,남성,2913,2275,2088,3402,4275,4433,5258,5060,6178,7413,6469,6931
북아메리카주,캐나다,여성,611,687,636,2224,2871,2885,3796,3308,5067,5953,4848,5007
북아메리카주,캐나다,제3의성,0,0,0,0,0,0,0,0,1,0,0,0
남아메리카주,멕시코,남성,211,269,243,345,419,352,335,399,646,770,695,593
남아메리카주,멕시코,여성,64,192,64,186,182,217,341,526,454,546,437,432
남아메리카주,브라질,남성,132,139,146,266,384,363,423,502,522,785,740,660
남아메리카주,브라질,여성,85,136,57,149,206,371,345,406,413,667,424,539
남아메리카주,콜롬비아,남성,36,39,21,79,112,123,105,148,203,271,179,180
남아메리카주,콜롬비아,여성,31,49,20,64,90,93,109,169,170,223,135,174
남아메리카주,칠레,남성,26,33,19,57,63,119,110,95,135,193,184,122
남아메리카주,칠레,여성,10,51,12,29,38,47,69,109,119,152,119,128
남아메리카주,아르헨티나,남성,21,16,24,52,77,76,97,97,120,205,121,126
남아메리카주,아르헨티나,여성,6,10,12,35,39,43,60,81,99,150,79,109
남아메리카주,페루,남성,19,24,28,29,54,39,47,73,92,119,128,76
남아메리카주,페루,여성,21,20,14,17,44,44,73,102,76,138,146,100
남아메리카주,에콰도르,남성,9,14,7,22,36,31,27,45,70,82,58,35
남아메리카주,에콰도르,여성,8,21,7,15,46,15,27,55,58,80,65,40
남아메리카주,베네수엘라,남성,18,25,20,33,28,25,35,38,46,64,41,58
남아메리카주,베네수엘라,여성,9,12,10,14,11,16,22,28,30,45,28,32
남아메리카주,코스타리카,남성,8,5,4,12,17,30,18,36,84,67,54,26
남아메리카주,코스타리카,여성,7,5,9,11,7,12,10,26,29,72,46,27
남아메리카주,파라과이,남성,2,3,2,4,9,51,24,33,45,50,29,14
남아메리카주,파라과이,여성,3,8,2,8,24,11,13,16,21,43,21,13
남아메리카주,파나마,남성,7,13,15,19,12,17,18,28,34,33,41,15
남아메리카주,파나마,여성,4,7,1,3,8,7,9,19,24,30,23,22
남아메리카주,도미니카공화국,남성,9,6,4,15,18,10,19,20,24,45,34,27
남아메리카주,도미니카공화국,여성,11,9,4,11,15,9,11,12,17,32,19,14
남아메리카주,과테말라,남성,4,9,5,7,16,13,22,22,22,44,47,13
남아메리카주,과테말라,여성,2,4,1,4,4,5,10,21,7,39,31,25
남아메리카주,엘살바도르,남성,10,6,8,15,15,16,15,20,33,40,29,21
남아메리카주,엘살바도르,여성,2,7,4,3,4,5,8,19,19,38,16,11
남아메리카주,자메이카,남성,15,7,7,8,9,19,14,20,26,44,16,21
남아메리카주,자메이카,여성,2,2,1,1,6,6,6,32,17,17,13,11
남아메리카주,온두라스,남성,4,4,0,11,12,5,40,8,29,30,25,14
남아메리카주,온두라스,여성,2,4,0,3,4,5,25,9,12,10,21,10
남아메리카주,볼리비아,남성,6,2,8,8,12,2,9,16,26,40,20,13
남아메리카주,볼리비아,여성,5,10,1,5,2,3,4,20,13,21,15,12
남아메리카주,세인트크리스토퍼네비스,남성,0,1,1,5,5,11,22,8,13,28,16,24
남아메리카주,세인트크리스토퍼네비스,여성,0,1,0,3,1,2,17,7,8,7,9,13
남아메리카주,아이티,남성,0,0,0,40,82,2,2,3,4,3,2,1
남아메리카주,아이티,여성,0,2,0,18,24,2,1,2,3,2,0,2
남아메리카주,우루과이,남성,2,1,1,4,9,9,3,10,18,23,14,16
남아메리카주,우루과이,여성,0,7,2,2,5,0,3,10,13,13,10,7
남아메리카주,트리니다드토바고,남성,7,2,3,6,9,8,12,7,10,11,9,6
남아메리카주,트리니다드토바고,여성,0,2,3,2,3,1,3,11,11,9,11,7
남아메리카주,도미니카연방,남성,0,4,4,5,8,7,9,11,17,21,15,16
남아메리카주,도미니카연방,여성,1,0,0,0,0,5,3,9,3,3,4,4
남아메리카주,쿠바,남성,1,3,1,1,1,6,20,6,6,7,8,6
남아메리카주,쿠바,여성,2,0,0,0,3,1,1,3,5,7,3,4
남아메리카주,니카라과,남성,1,2,1,2,5,0,7,8,8,8,5,2
남아메리카주,니카라과,여성,1,0,0,1,3,3,5,4,5,5,4,6
남아메리카주,그레나다,남성,0,0,0,0,2,0,2,5,2,10,3,10
남아메리카주,그레나다,여성,0,0,0,0,0,1,1,3,4,3,2,11
남아메리카주,바베이도스,남성,0,2,1,2,3,3,3,1,8,6,2,1
남아메리카주,바베이도스,여성,0,0,2,1,1,1,2,3,5,4,3,1
남아메리카주,앤티카바부다,남성,0,0,0,1,0,1,3,2,3,6,5,11
남아메리카주,앤티카바부다,여성,0,0,0,0,0,5,4,1,4,2,0,5
남아메리카주,바하마,남성,1,1,0,1,0,1,3,4,2,4,8,1
남아메리카주,바하마,여성,0,0,0,0,0,0,2,5,4,3,1,2
남아메리카주,벨리즈,남성,1,0,0,0,0,1,1,0,11,2,6,1
남아메리카주,벨리즈,여성,1,1,2,0,1,2,0,1,2,2,5,2
