대륙,국적,성별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
유럽주,벨기에,남자,576 ,512 ,1031 ,940 ,930 ,841 ,940 ,835 ,1021 ,1020 ,889 ,566 
유럽주,벨기에,여자,151 ,161 ,402 ,563 ,338 ,349 ,622 ,490 ,542 ,500 ,327 ,201 
유럽주,핀란드,남자,716 ,724 ,844 ,881 ,962 ,878 ,731 ,799 ,954 ,1001 ,926 ,777 
유럽주,핀란드,여자,163 ,217 ,255 ,409 ,401 ,473 ,294 ,285 ,327 ,487 ,300 ,301 
유럽주,덴마크,남자,614 ,534 ,745 ,898 ,873 ,683 ,897 ,664 ,849 ,1189 ,819 ,554 
유럽주,덴마크,여자,159 ,176 ,276 ,515 ,339 ,267 ,618 ,403 ,410 ,635 ,328 ,244 
유럽주,루마니아,남자,747 ,658 ,884 ,1022 ,937 ,756 ,753 ,1154 ,877 ,1056 ,855 ,649 
유럽주,루마니아,여자,135 ,118 ,170 ,314 ,203 ,232 ,211 ,297 ,319 ,256 ,195 ,136 
유럽주,오스트리아,남자,614 ,555 ,719 ,801 ,741 ,654 ,774 ,791 ,918 ,1024 ,868 ,576 
유럽주,오스트리아,여자,174 ,211 ,210 ,353 ,259 ,252 ,412 ,447 ,467 ,451 ,255 ,216 
유럽주,노르웨이,남자,639 ,435 ,600 ,914 ,595 ,688 ,812 ,521 ,711 ,866 ,616 ,463 
유럽주,노르웨이,여자,187 ,160 ,276 ,597 ,238 ,483 ,702 ,297 ,369 ,369 ,239 ,222 
유럽주,체코,남자,740 ,610 ,638 ,670 ,766 ,621 ,747 ,744 ,797 ,773 ,773 ,616 
유럽주,체코,여자,339 ,215 ,207 ,214 ,235 ,230 ,305 ,319 ,303 ,293 ,221 ,256 
유럽주,포르투갈,남자,357 ,354 ,492 ,591 ,571 ,490 ,527 ,778 ,585 ,567 ,562 ,496 
유럽주,포르투갈,여자,212 ,318 ,334 ,607 ,350 ,381 ,435 ,571 ,421 ,551 ,420 ,510 
유럽주,영국보호민,남자,230 ,285 ,271 ,389 ,352 ,351 ,319 ,361 ,391 ,518 ,489 ,588 
유럽주,영국보호민,여자,320 ,343 ,436 ,542 ,494 ,528 ,411 ,461 ,558 ,840 ,792 ,799 
유럽주,아일랜드,남자,464 ,458 ,539 ,665 ,532 ,561 ,544 ,707 ,824 ,987 ,571 ,474 
유럽주,아일랜드,여자,171 ,181 ,215 ,331 ,240 ,280 ,285 ,286 ,382 ,437 ,223 ,190 
유럽주,그리스,남자,738 ,561 ,715 ,700 ,671 ,665 ,666 ,626 ,831 ,877 ,791 ,675 
유럽주,그리스,여자,47 ,53 ,96 ,103 ,82 ,108 ,143 ,159 ,201 ,148 ,111 ,83 
유럽주,불가리아,남자,394 ,280 ,386 ,619 ,491 ,380 ,422 ,581 ,519 ,493 ,377 ,387 
유럽주,불가리아,여자,40 ,48 ,71 ,125 ,150 ,69 ,123 ,183 ,146 ,165 ,97 ,57 
유럽주,헝가리,남자,195 ,158 ,258 ,319 ,337 ,299 ,398 ,428 ,407 ,502 ,435 ,326 
유럽주,헝가리,여자,95 ,131 ,131 ,206 ,159 ,220 ,299 ,275 ,226 ,251 ,183 ,125 
유럽주,크로아티아,남자,468 ,423 ,438 ,525 ,520 ,368 ,411 ,563 ,424 ,441 ,483 ,352 
유럽주,크로아티아,여자,30 ,28 ,52 ,56 ,50 ,37 ,51 ,53 ,78 ,58 ,62 ,29 
유럽주,세르비아,남자,217 ,130 ,240 ,341 ,409 ,274 ,274 ,474 ,293 ,406 ,249 ,187 
유럽주,세르비아,여자,48 ,50 ,71 ,99 ,77 ,77 ,76 ,78 ,92 ,128 ,82 ,45 
유럽주,슬로바크,남자,178 ,128 ,184 ,264 ,243 ,181 ,141 ,190 ,232 ,216 ,302 ,112 
유럽주,슬로바크,여자,105 ,59 ,66 ,108 ,92 ,88 ,142 ,105 ,103 ,110 ,156 ,73 
유럽주,리투아니아,남자,79 ,86 ,139 ,140 ,151 ,93 ,149 ,161 ,185 ,173 ,121 ,101 
유럽주,리투아니아,여자,52 ,65 ,81 ,136 ,96 ,64 ,125 ,111 ,102 ,146 ,91 ,58 
유럽주,라트비아,남자,135 ,154 ,114 ,201 ,158 ,103 ,137 ,131 ,97 ,122 ,131 ,109 
유럽주,라트비아,여자,29 ,62 ,56 ,112 ,64 ,54 ,40 ,53 ,82 ,85 ,47 ,50 
유럽주,벨로루시,남자,75 ,66 ,80 ,136 ,114 ,116 ,104 ,132 ,137 ,156 ,126 ,65 
유럽주,벨로루시,여자,46 ,52 ,64 ,66 ,70 ,82 ,104 ,112 ,79 ,112 ,106 ,43 
유럽주,몬테네그로,남자,77 ,102 ,227 ,184 ,193 ,198 ,217 ,188 ,268 ,248 ,125 ,159 
유럽주,몬테네그로,여자,1 ,1 ,3 ,5 ,3 ,1 ,6 ,6 ,1 ,7 ,18 ,2 
유럽주,에스토니아,남자,53 ,76 ,86 ,85 ,61 ,73 ,69 ,66 ,92 ,118 ,69 ,60 
유럽주,에스토니아,여자,18 ,46 ,45 ,70 ,53 ,48 ,42 ,79 ,82 ,102 ,62 ,34 
유럽주,슬로베니아,남자,60 ,60 ,80 ,110 ,92 ,87 ,84 ,82 ,109 ,105 ,98 ,54 
유럽주,슬로베니아,여자,23 ,23 ,36 ,70 ,45 ,45 ,38 ,54 ,50 ,48 ,27 ,25 
유럽주,아제르바이잔,남자,53 ,58 ,59 ,112 ,67 ,81 ,79 ,116 ,110 ,129 ,102 ,75 
유럽주,아제르바이잔,여자,16 ,15 ,18 ,17 ,23 ,39 ,32 ,73 ,30 ,27 ,35 ,21 
유럽주,조지아,남자,81 ,64 ,92 ,75 ,85 ,109 ,63 ,94 ,92 ,88 ,87 ,107 
유럽주,조지아,여자,9 ,10 ,26 ,38 ,19 ,35 ,15 ,40 ,36 ,21 ,32 ,20 
유럽주,룩셈부르크,남자,28 ,27 ,30 ,72 ,37 ,39 ,78 ,76 ,63 ,45 ,31 ,35 
유럽주,룩셈부르크,여자,17 ,22 ,14 ,75 ,15 ,16 ,51 ,80 ,23 ,26 ,14 ,25 
유럽주,아이슬란드,남자,28 ,21 ,43 ,46 ,42 ,25 ,34 ,29 ,48 ,52 ,40 ,28 
유럽주,아이슬란드,여자,13 ,16 ,18 ,49 ,21 ,30 ,38 ,23 ,25 ,35 ,33 ,13 
유럽주,영국 외지민,남자,77 ,75 ,73 ,62 ,63 ,49 ,61 ,58 ,51 ,62 ,46 ,27 
유럽주,영국 외지민,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,몰타,남자,21 ,11 ,33 ,79 ,29 ,23 ,33 ,25 ,32 ,53 ,43 ,24 
유럽주,몰타,여자,4 ,3 ,12 ,37 ,18 ,20 ,14 ,17 ,17 ,32 ,17 ,6 
유럽주,유고슬라비아,남자,17 ,15 ,24 ,24 ,21 ,19 ,28 ,23 ,23 ,32 ,34 ,14 
