년,월,국적지역,입국자수
2018,10,레바논,112
2018,11,레바논,108
2018,12,레바논,67
2018,1,레소토,0
2018,2,레소토,4
2018,3,레소토,0
2018,4,레소토,2
2018,5,레소토,16
2018,6,레소토,3
2018,7,레소토,10
2018,8,레소토,4
2018,9,레소토,8
2018,10,레소토,1
2018,11,레소토,3
2018,12,레소토,4
2018,1,루마니아,739
2018,2,루마니아,644
2018,3,루마니아,977
2018,4,루마니아,1155
2018,5,루마니아,1095
2018,6,루마니아,997
2018,7,루마니아,911
2018,8,루마니아,942
2018,9,루마니아,1073
2018,10,루마니아,1318
2018,11,루마니아,938
2018,12,루마니아,728
2018,1,룩셈부르크,27
2018,2,룩셈부르크,49
2018,3,룩셈부르크,70
2018,4,룩셈부르크,67
2018,5,룩셈부르크,43
2018,6,룩셈부르크,41
2018,7,룩셈부르크,99
2018,8,룩셈부르크,187
2018,9,룩셈부르크,77
2018,10,룩셈부르크,63
2018,11,룩셈부르크,46
2018,12,룩셈부르크,37
2018,1,르완다,25
2018,2,르완다,55
2018,3,르완다,30
2018,4,르완다,19
2018,5,르완다,44
2018,6,르완다,51
2018,7,르완다,65
2018,8,르완다,77
2018,9,르완다,40
2018,10,르완다,47
2018,11,르완다,27
2018,12,르완다,15
2018,1,리비아,101
2018,2,리비아,109
2018,3,리비아,171
2018,4,리비아,286
2018,5,리비아,242
2018,6,리비아,219
2018,7,리비아,395
2018,8,리비아,138
2018,9,리비아,274
2018,10,리비아,248
2018,11,리비아,270
2018,12,리비아,396
2018,1,리투아니아,147
2018,2,리투아니아,233
2018,3,리투아니아,189
2018,4,리투아니아,279
2018,5,리투아니아,249
2018,6,리투아니아,180
2018,7,리투아니아,188
2018,8,리투아니아,219
2018,9,리투아니아,203
2018,10,리투아니아,285
2018,11,리투아니아,219
2018,12,리투아니아,129
2018,1,리히텐슈타인,3
2018,2,리히텐슈타인,27
2018,3,리히텐슈타인,4
2018,4,리히텐슈타인,9
2018,5,리히텐슈타인,4
2018,6,리히텐슈타인,3
2018,7,리히텐슈타인,11
2018,8,리히텐슈타인,6
2018,9,리히텐슈타인,4
2018,10,리히텐슈타인,4
2018,11,리히텐슈타인,3
2018,12,리히텐슈타인,10
2018,1,마다가스카르,5
2018,2,마다가스카르,38
2018,3,마다가스카르,28
2018,4,마다가스카르,35
2018,5,마다가스카르,182
2018,6,마다가스카르,26
2018,7,마다가스카르,18
2018,8,마다가스카르,38
2018,9,마다가스카르,35
2018,10,마다가스카르,149
2018,11,마다가스카르,115
2018,12,마다가스카르,25
2018,1,마샬군도,7
2018,2,마샬군도,0
2018,3,마샬군도,3
2018,4,마샬군도,14
2018,5,마샬군도,10
2018,6,마샬군도,16
2018,7,마샬군도,5
2018,8,마샬군도,3
2018,9,마샬군도,7
2018,10,마샬군도,21
2018,11,마샬군도,6
2018,12,마샬군도,7
2018,1,마카오,2935
2018,2,마카오,4840
2018,3,마카오,4439
2018,4,마카오,4123
2018,5,마카오,3142
2018,6,마카오,3844
2018,7,마카오,5557
2018,8,마카오,6424
2018,9,마카오,3035
2018,10,마카오,3661
2018,11,마카오,4045
2018,12,마카오,6832
2018,1,마케도니아,4
2018,2,마케도니아,5
2018,3,마케도니아,3
2018,4,마케도니아,3
2018,5,마케도니아,2
2018,6,마케도니아,2
2018,7,마케도니아,3
2018,8,마케도니아,4
2018,9,마케도니아,1
2018,10,마케도니아,5
2018,11,마케도니아,3
2018,12,마케도니아,4
2018,1,말라위,20
2018,2,말라위,13
2018,3,말라위,7
2018,4,말라위,4
2018,5,말라위,16
2018,6,말라위,10
2018,7,말라위,11
2018,8,말라위,34
2018,9,말라위,15
2018,10,말라위,20
2018,11,말라위,9
2018,12,말라위,3
2018,1,말레이시아,22152
2018,2,말레이시아,22593
2018,3,말레이시아,37890
2018,4,말레이시아,41773
2018,5,말레이시아,25458
2018,6,말레이시아,27677
2018,7,말레이시아,15746
2018,8,말레이시아,19261
2018,9,말레이시아,28658
2018,10,말레이시아,40807
2018,11,말레이시아,45748
2018,12,말레이시아,55704
2018,1,말리,9
2018,2,말리,22
2018,3,말리,13
2018,4,말리,21
2018,5,말리,14
2018,6,말리,13
2018,7,말리,11
2018,8,말리,28
2018,9,말리,41
2018,10,말리,20
2018,11,말리,12
2018,12,말리,10
2018,1,멕시코,1417
2018,2,멕시코,1431
2018,3,멕시코,2298
2018,4,멕시코,2385
2018,5,멕시코,2096
2018,6,멕시코,2050
2018,7,멕시코,2943
2018,8,멕시코,2086
2018,9,멕시코,2013
2018,10,멕시코,2712
2018,11,멕시코,2162
2018,12,멕시코,1879
2018,1,모나코,3
2018,2,모나코,22
2018,3,모나코,2
2018,4,모나코,10
2018,5,모나코,4
2018,6,모나코,0
2018,7,모나코,6
2018,8,모나코,1
2018,9,모나코,1
2018,10,모나코,8
2018,11,모나코,1
2018,12,모나코,0
2018,1,모로코,231
2018,2,모로코,315
2018,3,모로코,323
2018,4,모로코,546
2018,5,모로코,349
2018,6,모로코,288
2018,7,모로코,403
2018,8,모로코,487
2018,9,모로코,396
2018,10,모로코,490
2018,11,모로코,319
2018,12,모로코,317
2018,1,모리셔스,25
2018,2,모리셔스,61
2018,3,모리셔스,109
2018,4,모리셔스,168
2018,5,모리셔스,128
2018,6,모리셔스,45
2018,7,모리셔스,94
2018,8,모리셔스,78
2018,9,모리셔스,75
2018,10,모리셔스,157
2018,11,모리셔스,65
2018,12,모리셔스,85
2018,1,모리타니,2
2018,2,모리타니,2
2018,3,모리타니,3
2018,4,모리타니,2
2018,5,모리타니,14
2018,6,모리타니,0
2018,7,모리타니,2
2018,8,모리타니,8
2018,9,모리타니,2
2018,10,모리타니,4
2018,11,모리타니,3
2018,12,모리타니,2
2018,1,모잠비크,7
2018,2,모잠비크,8
2018,3,모잠비크,14
2018,4,모잠비크,26
2018,5,모잠비크,54
2018,6,모잠비크,37
2018,7,모잠비크,10
2018,8,모잠비크,30
2018,9,모잠비크,36
2018,10,모잠비크,35
2018,11,모잠비크,16
2018,12,모잠비크,17
2018,1,몰도바,15
2018,2,몰도바,41
2018,3,몰도바,33
2018,4,몰도바,32
2018,5,몰도바,28
2018,6,몰도바,32
2018,7,몰도바,22
2018,8,몰도바,51
2018,9,몰도바,30
2018,10,몰도바,48
2018,11,몰도바,17
2018,12,몰도바,12
2018,1,몰디브,9
2018,2,몰디브,12
2018,3,몰디브,17
2018,4,몰디브,23
2018,5,몰디브,16
2018,6,몰디브,24
2018,7,몰디브,18
2018,8,몰디브,31
2018,9,몰디브,24
2018,10,몰디브,29
2018,11,몰디브,21
2018,12,몰디브,14
2018,1,몰타,13
2018,2,몰타,13
2018,3,몰타,26
2018,4,몰타,56
2018,5,몰타,32
2018,6,몰타,18
2018,7,몰타,17
2018,8,몰타,40
2018,9,몰타,43
2018,10,몰타,76
2018,11,몰타,64
2018,12,몰타,28
2018,1,몽골,11221
2018,2,몽골,9303
2018,3,몽골,11001
2018,4,몽골,7884
2018,5,몽골,8104
2018,6,몽골,9409
2018,7,몽골,9522
2018,8,몽골,11135
2018,9,몽골,11634
2018,10,몽골,11133
2018,11,몽골,9827
2018,12,몽골,8610
2018,1,무국적,3
2018,2,무국적,8
2018,3,무국적,9
2018,4,무국적,16
2018,5,무국적,3
2018,6,무국적,25
2018,7,무국적,9
2018,8,무국적,11
2018,9,무국적,9
2018,10,무국적,14
2018,11,무국적,19
2018,12,무국적,25
2018,1,미국,68071
2018,2,미국,76797
2018,3,미국,87866
2018,4,미국,100670
2018,5,미국,92902
2018,6,미국,102403
2018,7,미국,98111
2018,8,미국,84466
2018,9,미국,85895
2018,10,미국,108108
2018,11,미국,85227
2018,12,미국,77662
2018,1,미등록국가,67
2018,2,미등록국가,46
2018,3,미등록국가,54
2018,4,미등록국가,55
2018,5,미등록국가,73
2018,6,미등록국가,56
2018,7,미등록국가,54
2018,8,미등록국가,67
2018,9,미등록국가,59
2018,10,미등록국가,51
2018,11,미등록국가,62
2018,12,미등록국가,58
2018,1,미상,0
2018,2,미상,0
2018,3,미상,0
2018,4,미상,1
2018,5,미상,1
2018,6,미상,2
2018,7,미상,0
