년,월,국적지역,입국자수
2018,5,베트남,43106
2018,6,베트남,54070
2018,7,베트남,52502
2018,8,베트남,49415
2018,9,베트남,47698
2018,10,베트남,60299
2018,11,베트남,45918
2018,12,베트남,37394
2019,1,베트남,24476
2019,2,베트남,44937
2019,3,베트남,50770
2019,4,베트남,58269
2019,5,베트남,42549
2019,6,베트남,54662
2019,7,베트남,53447
2019,8,베트남,48182
2019,9,베트남,46406
2019,10,베트남,62054
2019,11,베트남,44387
2019,12,베트남,33967
2023,1,베트남,23613
2023,2,베트남,43351
2023,3,베트남,48976
2023,4,베트남,56208
2023,5,베트남,41043
2023,6,베트남,52726
2023,7,베트남,51552
2023,8,베트남,46473
2023,9,베트남,44759
2023,10,베트남,59850
2023,11,베트남,42810
2023,12,베트남,32759
2024,1,베트남,23400
2024,2,베트남,49752
2024,3,베트남,61596
2024,4,베트남,59678
2024,5,베트남,41360
2024,6,베트남,49293
2024,7,베트남,46993
2024,8,베트남,48260
2024,9,베트남,46928
2024,10,베트남,52688
2024,11,베트남,45466
2024,12,베트남,41459
2025,1,베트남,23323
2025,2,베트남,55991
2025,3,베트남,38956
2025,4,베트남,52707
2025,5,베트남,40120
2025,6,베트남,53865
2025,7,베트남,53192
2025,8,베트남,44023
2025,9,베트남,42355
2025,10,베트남,63000
2025,11,베트남,39715
2025,12,베트남,26427
2026,1,베트남,23375
2026,2,베트남,62061
2026,3,베트남,33939
2026,4,베트남,51045
2026,5,베트남,39745
2026,6,베트남,54445
2026,7,베트남,53936
2026,8,베트남,42780
2026,9,베트남,41211
2026,10,베트남,64473
2026,11,베트남,38117
2026,12,베트남,23415
2018,1,싱가포르,9152
2018,2,싱가포르,7877
2018,3,싱가포르,22359
2018,4,싱가포르,20532
2018,5,싱가포르,20470
2018,6,싱가포르,22410
2018,7,싱가포르,9389
2018,8,싱가포르,10788
2018,9,싱가포르,16614
2018,10,싱가포르,23322
2018,11,싱가포르,27363
2018,12,싱가포르,38230
2019,1,싱가포르,9704
2019,2,싱가포르,9400
2019,3,싱가포르,23803
2019,4,싱가포르,22811
2019,5,싱가포르,21149
2019,6,싱가포르,25202
2019,7,싱가포르,10415
2019,8,싱가포르,11666
2019,9,싱가포르,18378
2019,10,싱가포르,24406
2019,11,싱가포르,30088
2019,12,싱가포르,41568
2023,1,싱가포르,13674
2023,2,싱가포르,13236
2023,3,싱가포르,33496
2023,4,싱가포르,32077
2023,5,싱가포르,29720
2023,6,싱가포르,35390
2023,7,싱가포르,14615
