국  적,성별,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월
세인트빈센트 그레나딘,남,1,2,7,9,11,4,0,7,0,9,5,1
세인트빈센트 그레나딘,여,1,1,3,1,0,0,0,2,3,1,3,0
세인트루시아,남,1,3,7,9,7,3,1,1,2,5,4,3
세인트루시아,여,1,1,0,2,5,0,1,4,5,3,2,0
수  리  남,남,1,2,4,1,5,3,4,4,2,5,1,1
수  리  남,여,1,1,3,2,2,2,5,5,2,5,5,0
벨  리  즈,남,0,5,0,2,2,0,3,3,2,4,0,0
벨  리  즈,여,3,1,1,2,3,4,1,2,0,4,2,1
미국인근섬,남,2,1,0,0,0,0,1,1,0,0,0,0
미국인근섬,여,0,0,0,0,0,0,0,0,0,0,0,0
영령 버진아일랜드,남,0,0,0,0,3,0,0,0,0,0,0,0
영령 버진아일랜드,여,0,0,0,0,0,0,0,0,0,0,0,0
남조지아 남샌드위치 군도,남,0,1,0,0,0,0,0,0,0,0,0,0
남조지아 남샌드위치 군도,여,0,0,0,0,0,0,0,0,0,0,0,0
러시아(연방),남,12994,12473,15125,19310,17146,15438,13867,12820,12414,15934,14148,14087
러시아(연방),여,7608,7158,9069,10651,8418,10272,13268,9089,9017,10527,7956,7830
영      국,남,6889,7086,8060,8482,7420,7164,7051,7269,7252,9141,6942,5445
영      국,여,2740,3437,4344,5024,3521,3563,3822,4166,3696,4822,3275,2538
독      일,남,5943,7204,8046,8087,7175,6622,6672,6924,7503,9207,7625,5096
독      일,여,1505,2501,3307,2952,2648,1904,2551,3221,3374,3541,1925,1640
프  랑  스,남,4290,5083,5081,6430,6276,5263,5885,6363,5386,7117,5374,4104
프  랑  스,여,1780,2314,2157,3885,3273,2570,3818,4576,2711,3830,2419,1869
이 탈 리 아,남,2282,2568,2853,3283,3717,3101,2987,3020,3450,3785,3559,2038
이 탈 리 아,여,522,659,721,897,792,887,874,1296,1082,1186,822,606
네 덜 란 드,남,1895,2882,2121,2366,2230,1989,2370,2360,2341,2611,2432,1757
네 덜 란 드,여,472,1067,581,957,879,625,1222,1067,828,1126,714,569
스  페  인,남,1216,1097,1465,1431,1546,1398,1700,2008,1649,1953,1731,1021
스  페  인,여,455,439,832,619,736,765,1000,1420,942,1009,786,486
우크라이나,남,1475,1740,1997,1951,1971,1678,1852,1870,1810,2306,2110,1683
우크라이나,여,184,287,321,355,306,302,318,409,372,389,310,213
폴  란  드,남,1244,1329,1377,1468,1449,1273,1326,1286,1441,1583,1494,1040
폴  란  드,여,276,398,383,651,435,445,589,688,747,583,435,266
한국계 러시아인,남,993,892,1095,914,799,755,761,949,1376,1155,872,781
한국계 러시아인,여,825,761,863,827,754,850,848,946,1305,1108,859,758
스  웨  덴,남,694,1331,1120,1210,1072,1212,943,844,1005,1472,1052,785
스  웨  덴,여,273,597,601,673,543,828,639,530,534,847,509,430
스  위  스,남,812,1743,999,1152,941,849,1058,905,1085,1289,913,606
스  위  스,여,279,685,514,626,533,387,629,530,611,724,307,248
핀  란  드,남,801,1440,853,864,895,812,716,759,904,979,885,822
핀  란  드,여,218,514,352,329,337,392,250,274,297,367,227,278
노 르 웨 이,남,813,1360,927,736,650,738,785,680,748,981,847,528
노 르 웨 이,여,206,443,493,296,225,376,525,324,319,351,257,230
오스트리아,남,666,1376,812,794,697,615,740,715,770,916,837,473
오스트리아,여,139,355,270,288,265,212,349,379,351,387,197,163
벨  기  에,남,602,620,782,878,748,692,826,704,791,997,795,593
벨  기  에,여,168,206,304,439,283,236,473,335,374,423,224,185
덴  마  크,남,566,666,844,860,735,670,766,695,741,1016,694,529
덴  마  크,여,151,157,330,329,294,217,451,333,332,478,233,154
루 마 니 아,남,648,534,806,928,892,841,734,721,817,1077,786,600
루 마 니 아,여,91,110,171,227,203,156,177,221,256,241,152,128
포 르 투 갈,남,366,451,519,576,478,458,537,547,494,603,461,470
포 르 투 갈,여,230,338,471,483,341,373,433,491,401,470,379,474
체      코,남,683,1143,641,629,642,624,612,679,615,540,644,563
체      코,여,243,320,193,241,190,234,274,313,195,254,170,194
그  리  스,남,654,693,819,754,700,706,611,605,723,794,717,557
그  리  스,여,65,68,90,110,77,94,99,88,77,117,64,103
아 일 랜 드,남,457,495,527,508,581,520,509,603,580,657,505,381
아 일 랜 드,여,175,198,236,233,180,251,258,257,236,293,211,143
불 가 리 아,남,317,299,420,486,494,434,404,446,433,463,388,311
불 가 리 아,여,54,78,76,105,141,89,111,165,159,124,80,51
크로아티아,남,462,408,599,468,446,403,402,343,470,614,438,431
크로아티아,여,32,76,62,65,40,36,39,71,66,86,39,26
영국 보호민,남,0,1,0,1,1,154,297,309,368,352,352,386
영국 보호민,여,1,0,0,1,3,221,366,403,540,575,490,461
헝  가  리,남,149,208,261,327,295,278,347,280,310,405,248,157
헝  가  리,여,95,111,140,140,155,127,212,166,156,170,100,74
슬 로 바 크,남,142,444,229,222,147,119,141,188,193,175,266,213
슬 로 바 크,여,63,132,77,79,56,58,128,103,115,120,82,65
세르비아,남,110,167,246,289,292,216,165,276,249,319,182,136
세르비아,여,28,49,50,60,70,45,66,82,100,98,61,49
리투아니아,남,109,168,114,164,132,115,115,126,132,172,147,88
리투아니아,여,38,65,75,115,117,65,73,93,71,113,72,41
라 트 비 아,남,132,291,135,140,126,103,120,124,150,171,132,135
라 트 비 아,여,26,84,77,46,37,36,33,35,78,93,60,37
벨 로 루 시,남,74,175,101,112,93,75,81,102,105,120,105,68
벨 로 루 시,여,41,84,60,57,59,63,80,87,65,73,46,48
슬로베니아,남,101,465,120,82,83,67,74,82,89,107,74,41
슬로베니아,여,16,138,51,50,25,33,38,52,59,67,36,21
몬테네그로,남,71,70,102,146,212,131,183,165,191,200,168,151
몬테네그로,여,4,8,3,7,2,2,2,3,4,4,3,2
에스토니아,남,44,147,61,64,94,56,38,62,96,104,64,44
에스토니아,여,24,50,37,53,54,41,51,43,52,72,19,19
조 지 아,남,42,69,78,98,71,63,63,72,85,57,107,95
조 지 아,여,6,29,19,9,15,22,19,33,19,17,10,13
아제르바이잔,남,64,78,53,72,66,63,57,89,61,91,99,57
아제르바이잔,여,14,20,16,23,13,23,9,54,23,29,16,13
룩셈부르크,남,21,34,45,49,29,32,61,100,48,42,24,27
룩셈부르크,여,6,15,25,18,14,9,38,87,29,21,22,10
아이슬란드,남,18,30,35,16,29,41,23,31,39,61,40,35
아이슬란드,여,9,17,10,11,16,24,22,27,14,29,23,12
알 바 니 아,남,13,15,51,27,22,29,52,25,22,22,14,12
알 바 니 아,여,11,9,9,19,9,8,28,34,18,13,13,13
유고슬라비아,남,12,42,28,16,64,20,16,23,31,34,25,9
유고슬라비아,여,7,11,14,10,17,15,11,10,8,9,9,2
몰      타,남,11,9,22,34,25,12,8,23,34,46,39,22
몰      타,여,2,4,4,22,7,6,9,17,9,30,25,6
몰  도  바,남,8,20,24,23,17,18,13,31,20,24,11,7
