ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,국적
2021-08-01,2.185779841053904,-3.2191057278197786,6.479473517848334,2.185779841053904,2.185779841053904,-0.5870966280247986,-0.5870966280247986,-0.5870966280247986,-0.5870966280247986,-0.5870966280247986,-0.5870966280247986,0.0,0.0,0.0,1.5986832130291053,중앙아프리카공화국
2021-09-01,2.2796575408851374,-4.232333867930304,5.814276381986569,2.2796575408851374,2.2796575408851374,-1.513008809816687,-1.513008809816687,-1.513008809816687,-1.513008809816687,-1.513008809816687,-1.513008809816687,0.0,0.0,0.0,0.7666487310684504,중앙아프리카공화국
2021-10-01,2.3705069277494646,3.555580158433989,13.55462480446789,2.3705069277494646,2.3705069277494646,6.073431200385022,6.073431200385022,6.073431200385022,6.073431200385022,6.073431200385022,6.073431200385022,0.0,0.0,0.0,8.443938128134487,중앙아프리카공화국
2021-11-01,2.464384627291759,-1.706840173750616,7.977228587377409,2.464384627291759,2.464384627291759,0.4505622633892435,0.4505622633892435,0.4505622633892435,0.4505622633892435,0.4505622633892435,0.4505622633892435,0.0,0.0,0.0,2.9149468906810023,중앙아프리카공화국
2021-12-01,2.555234014391043,-4.984661249665082,4.629175623620235,2.555234014391043,2.555234014391043,-2.7048077427344577,-2.7048077427344577,-2.7048077427344577,-2.7048077427344577,-2.7048077427344577,-2.7048077427344577,0.0,0.0,0.0,-0.14957372834341465,중앙아프리카공화국
2022-01-01,2.64911171445644,-4.282703824573722,4.9716406617549795,2.64911171445644,2.64911171445644,-2.3281024999983315,-2.3281024999983315,-2.3281024999983315,-2.3281024999983315,-2.3281024999983315,-2.3281024999983315,0.0,0.0,0.0,0.32100921445810826,중앙아프리카공화국
2022-02-01,2.7429894146145535,-3.529141468330905,6.262301466124844,2.7429894146145535,2.7429894146145535,-1.418218487620822,-1.418218487620822,-1.418218487620822,-1.418218487620822,-1.418218487620822,-1.418218487620822,0.0,0.0,0.0,1.3247709269937316,중앙아프리카공화국
2022-03-01,2.827782175639471,-3.956184224557342,6.1101040307880305,2.827782175639471,2.827782175639471,-1.8237686633902614,-1.8237686633902614,-1.8237686633902614,-1.8237686633902614,-1.8237686633902614,-1.8237686633902614,0.0,0.0,0.0,1.0040135122492095,중앙아프리카공화국
2022-04-01,2.921659874982695,-3.2697772389520554,5.966522391050561,2.921659874982695,2.921659874982695,-1.5820123749038524,-1.5820123749038524,-1.5820123749038524,-1.5820123749038524,-1.5820123749038524,-1.5820123749038524,0.0,0.0,0.0,1.3396475000788428,중앙아프리카공화국
2022-05-01,3.012509261599594,-0.36794295015411976,9.242478644701524,3.012509261599594,3.012509261599594,1.3335264198887158,1.3335264198887158,1.3335264198887158,1.3335264198887158,1.3335264198887158,1.3335264198887158,0.0,0.0,0.0,4.34603568148831,중앙아프리카공화국
